n,seed,c_setting,c,solvable,cost,odd,oddagents,time
stable,2,52,c3,1,1,2.0000,0,0,0.00
stable,2,52,c4,1,1,2.0000,0,0,0.00
stable,2,53,c0,1,1,2.0000,0,0,0.02
stable,2,53,c1,1,1,2.0000,0,0,0.00
stable,2,53,c2,1,1,2.0000,0,0,0.00
stable,2,53,c3,1,1,2.0000,0,0,0.00
stable,2,53,c4,1,1,2.0000,0,0,0.00
stable,2,54,c0,1,1,2.0000,0,0,0.00
stable,2,54,c1,1,1,2.0000,0,0,0.00
stable,2,54,c2,1,1,2.0000,0,0,0.00
stable,2,54,c3,1,1,2.0000,0,0,0.00
stable,2,54,c4,1,1,2.0000,0,0,0.00
stable,2,55,c0,1,1,2.0000,0,0,0.00
stable,2,55,c1,1,1,2.0000,0,0,0.00
stable,2,55,c2,1,1,2.0000,0,0,0.00
stable,2,55,c3,1,1,2.0000,0,0,0.00
stable,2,55,c4,1,1,2.0000,0,0,0.00
stable,2,56,c0,1,1,2.0000,0,0,0.00
stable,2,56,c1,1,1,2.0000,0,0,0.00
stable,2,56,c2,1,1,2.0000,0,0,0.00
stable,2,56,c3,1,1,2.0000,0,0,0.00
stable,2,56,c4,1,1,2.0000,0,0,0.00
stable,2,57,c0,1,1,2.0000,0,0,0.00
stable,2,57,c1,1,1,2.0000,0,0,0.00
stable,2,57,c2,1,1,2.0000,0,0,0.00
stable,2,57,c3,1,1,2.0000,0,0,0.00
stable,2,57,c4,1,1,2.0000,0,0,0.00
stable,2,58,c0,1,1,2.0000,0,0,0.00
stable,2,58,c1,1,1,2.0000,0,0,0.00
stable,2,58,c2,1,1,2.0000,0,0,0.00
stable,2,58,c3,1,1,2.0000,0,0,0.00
stable,2,58,c4,1,1,2.0000,0,0,0.00
stable,2,59,c0,1,1,2.0000,0,0,0.00
stable,2,59,c1,1,1,2.0000,0,0,0.00
stable,2,59,c2,1,1,2.0000,0,0,0.00
stable,2,59,c3,1,1,2.0000,0,0,0.00
stable,2,59,c4,1,1,2.0000,0,0,0.00
stable,2,60,c0,1,1,2.0000,0,0,0.00
stable,2,60,c1,1,1,2.0000,0,0,0.02
stable,2,60,c2,1,1,2.0000,0,0,0.00
stable,2,60,c3,1,1,2.0000,0,0,0.00
stable,2,60,c4,1,1,2.0000,0,0,0.00
stable,2,61,c0,1,1,2.0000,0,0,0.00
stable,2,61,c1,1,1,2.0000,0,0,0.00
stable,2,61,c2,1,1,2.0000,0,0,0.00
stable,2,61,c3,1,1,2.0000,0,0,0.00
stable,2,61,c4,1,1,2.0000,0,0,0.00
stable,2,62,c0,1,1,2.0000,0,0,0.00
stable,2,62,c1,1,1,2.0000,0,0,0.00
stable,2,62,c2,1,1,2.0000,0,0,0.00
stable,2,62,c3,1,1,2.0000,0,0,0.00
stable,2,62,c4,1,1,2.0000,0,0,0.00
stable,2,63,c0,1,1,2.0000,0,0,0.00
stable,2,63,c1,1,1,2.0000,0,0,0.02
stable,2,63,c2,1,1,2.0000,0,0,0.00
stable,2,63,c3,1,1,2.0000,0,0,0.00
stable,2,63,c4,1,1,2.0000,0,0,0.00
stable,2,64,c0,1,1,2.0000,0,0,0.00
stable,2,64,c1,1,1,2.0000,0,0,0.00
stable,2,64,c2,1,1,2.0000,0,0,0.00
stable,2,64,c3,1,1,2.0000,0,0,0.00
stable,2,64,c4,1,1,2.0000,0,0,0.00
stable,2,65,c0,1,1,2.0000,0,0,0.00
stable,2,65,c1,1,1,2.0000,0,0,0.00
stable,2,65,c2,1,1,2.0000,0,0,0.00
stable,2,65,c3,1,1,2.0000,0,0,0.00
stable,2,65,c4,1,1,2.0000,0,0,0.00
stable,2,66,c0,1,1,2.0000,0,0,0.00
stable,2,66,c1,1,1,2.0000,0,0,0.00
stable,2,66,c2,1,1,2.0000,0,0,0.00
stable,2,66,c3,1,1,2.0000,0,0,0.00
stable,2,66,c4,1,1,2.0000,0,0,0.00
stable,2,67,c0,1,1,2.0000,0,0,0.00
stable,2,67,c1,1,1,2.0000,0,0,0.00
stable,2,67,c2,1,1,2.0000,0,0,0.00
stable,2,67,c3,1,1,2.0000,0,0,0.00
stable,2,67,c4,1,1,2.0000,0,0,0.00
stable,2,68,c0,1,1,2.0000,0,0,0.00
stable,2,68,c1,1,1,2.0000,0,0,0.00
stable,2,68,c2,1,1,2.0000,0,0,0.00
stable,2,68,c3,1,1,2.0000,0,0,0.00
stable,2,68,c4,1,1,2.0000,0,0,0.00
stable,2,69,c0,1,1,2.0000,0,0,0.00
stable,2,69,c1,1,1,2.0000,0,0,0.00
stable,2,69,c2,1,1,2.0000,0,0,0.00
stable,2,69,c3,1,1,2.0000,0,0,0.00
stable,2,69,c4,1,1,2.0000,0,0,0.00
stable,2,70,c0,1,1,2.0000,0,0,0.00
stable,2,70,c1,1,1,2.0000,0,0,0.00
stable,2,70,c2,1,1,2.0000,0,0,0.00
stable,2,70,c3,1,1,2.0000,0,0,0.00
stable,2,70,c4,1,1,2.0000,0,0,0.00
stable,2,71,c0,1,1,2.0000,0,0,0.00
stable,2,71,c1,1,1,2.0000,0,0,0.00
stable,2,71,c2,1,1,2.0000,0,0,0.00
stable,2,71,c3,1,1,2.0000,0,0,0.00
stable,2,71,c4,1,1,2.0000,0,0,0.00
stable,2,72,c0,1,1,2.0000,0,0,0.02
stable,2,72,c1,1,1,2.0000,0,0,0.00
stable,2,72,c2,1,1,2.0000,0,0,0.00
stable,2,72,c3,1,1,2.0000,0,0,0.00
stable,2,72,c4,1,1,2.0000,0,0,0.00
stable,2,73,c0,1,1,2.0000,0,0,0.00
stable,2,73,c1,1,1,2.0000,0,0,0.00
stable,2,73,c2,1,1,2.0000,0,0,0.00
stable,2,73,c3,1,1,2.0000,0,0,0.00
stable,2,73,c4,1,1,2.0000,0,0,0.00
stable,2,74,c0,1,1,2.0000,0,0,0.00
stable,2,74,c1,1,1,2.0000,0,0,0.00
stable,2,74,c2,1,1,2.0000,0,0,0.00
stable,2,74,c3,1,1,2.0000,0,0,0.00
stable,2,74,c4,1,1,2.0000,0,0,0.00
stable,2,75,c0,1,1,2.0000,0,0,0.00
stable,2,75,c1,1,1,2.0000,0,0,0.00
stable,2,75,c2,1,1,2.0000,0,0,0.00
stable,2,75,c3,1,1,2.0000,0,0,0.00
stable,2,75,c4,1,1,2.0000,0,0,0.00
